AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Venkatesh Patil,28.0,1.0,A1
2,2,Dinesh Fernandes,15.0,,A1
3,3,Kiran Bhat,31.0,1.0,A1
4,3,Abdul Reddy,31.0,1.0,A2
5,4,Mohammed Khan,26.0,1.0,A1
6,5,Anthony Khan,26.0,1.0,A1
7,5,Girish Achari,31.0,1.0,A2
8,5,Asha Reddy,,2.0,A3
9,5,Prakash Hegde,23.0,1.0,A4
10,7,Kiran Desai,26.0,1.0,A1
11,7,Mary Gowda,,2.0,A2
12,7,Suresh Biradar,26.0,1.0,A3
13,7,Mahesh Murthy,29.0,1.0,A4
14,8,Basavaraj Sheikh,37.0,1.0,A1
15,9,Irfan Bhat,,1.0,A1
16,10,Nagaraj Patil,32.0,1.0,A1
17,10,Praveen Rao,26.0,1.0,A2
18,11,Manjunath Biradar,22.0,1.0,A1
19,12,Prakash Naik,,,A1
20,12,Wilson Nayaka,27.0,1.0,A2
21,12,Manjunath Kulkarni,22.0,1.0,A3
22,14,Syed Angadi,,1.0,A1
23,15,Vijay D'Souza,34.0,1.0,A1
24,16,Praveen Swamy,25.0,1.0,A1
25,17,Lokesh Achari,21.0,1.0,A1
26,18,Srinivas Bhat,30.0,1.0,A1
27,19,Syed Nayaka,24.0,1.0,A1
28,19,Syed D'Souza,26.0,1.0,A2
29,19,Syed D'Souza,26.0,1.0,A3
30,19,Ramesh Fernandes,,1.0,A4
31,20,Mohammed Angadi,39.0,1.0,A1
32,21,Anil Kulkarni,36.0,1.0,A1
33,22,Venkatesh Patil,21.0,1.0,A1
34,23,Naveen Swamy,21.0,1.0,A1
35,23,Basavaraj Desai,,1.0,A2
36,23,Mahesh Rao,38.0,1.0,A3
37,24,Mahesh D'Souza,29.0,1.0,A1
38,26,Venkatesh Bhat,37.0,1.0,A1
39,27,Praveen Murthy,24.0,1.0,A1
40,28,Joseph Nayaka,41.0,1.0,A1
41,29,Harish D'Souza,35.0,1.0,A1
42,30,Wilson Bhat,22.0,1.0,A1
43,30,Srinivas Kulkarni,,1.0,A2
44,30,Venkatesh Achari,22.0,1.0,A3
45,30,Imran Swamy,31.0,1.0,A4
46,31,Shivakumar Banakar,29.0,1.0,A1
47,32,Raghavendra Naik,36.0,,A1
48,33,Imran Hegde,20.0,1.0,A1
49,33,Suresh Biradar,15.0,1.0,A2
50,34,Wilson Hegde,,1.0,A1
51,35,Abdul Gowda,17.0,1.0,A1
52,35,Imran Reddy,,1.0,A2
53,37,Srinivas Kulkarni,20.0,1.0,A1
54,38,Srinivas Angadi,22.0,1.0,A1
55,39,Chetan Desai,,1.0,A1
56,41,Asha Fernandes,,2.0,A1
57,42,Anthony Pai,19.0,,A1
58,42,Syed Pai,,1.0,A2
59,42,Mohammed Achari,,,A3
60,43,Anthony Swamy,,1.0,A1
61,43,Shivakumar Angadi,35.0,,A2
62,44,Joseph D'Souza,28.0,1.0,A1
63,47,Dinesh Kumar,,,A1
64,48,Mohammed Hegde,27.0,1.0,A1
65,48,Dinesh Murthy,,1.0,A2
66,48,Lokesh Nayaka,35.0,1.0,A3
67,51,Mohammed Nayaka,23.0,1.0,A1
68,52,Anil Swamy,24.0,1.0,A1
69,52,Joseph Shetty,25.0,1.0,A2
70,52,Ramesh Reddy,21.0,1.0,A3
71,52,Suresh Shetty,,1.0,A4
72,55,Girish Shetty,30.0,1.0,A1
73,55,Naveen D'Souza,26.0,1.0,A2
74,55,Chetan Poojari,33.0,1.0,A3
75,55,Manjunath Kulkarni,15.0,1.0,A4
76,56,Suresh D'Souza,23.0,1.0,A1
77,56,Hanumantha Naik,30.0,1.0,A2
78,56,Syed Patil,,1.0,A3
79,56,Wilson Angadi,,1.0,A4
80,57,Hanumantha Naik,26.0,1.0,A1
81,57,Mary Sheikh,,2.0,A2
82,59,Abdul Desai,,1.0,A1
83,59,Nagaraj Desai,37.0,1.0,A2
84,61,Joseph Biradar,24.0,1.0,A1
85,62,Lokesh Khan,34.0,1.0,A1
86,63,Basavaraj Fernandes,30.0,1.0,A1
87,64,Prakash Desai,24.0,1.0,A1
88,65,Kiran Gowda,35.0,1.0,A1
89,65,Anthony Naik,50.0,1.0,A2
90,65,Hanumantha Khan,23.0,1.0,A3
91,65,Anil Sheikh,29.0,1.0,A4
92,66,Manjunath Rao,,1.0,A1
93,67,Raghavendra Poojari,18.0,1.0,A1
94,68,Lokesh Fernandes,21.0,1.0,A1
95,68,Ramesh Bhat,18.0,1.0,A2
96,69,Praveen Swamy,49.0,1.0,A1
97,69,Praveen Angadi,24.0,1.0,A2
98,72,Raghavendra Patil,27.0,1.0,A1
99,73,Umesh Patil,33.0,,A1
100,74,Srinivas Pai,27.0,1.0,A1
101,74,Anthony Kumar,16.0,1.0,A2
102,74,Pallavi Swamy,38.0,2.0,A3
103,74,Vijay Fernandes,,,A4
104,75,Chetan Pai,30.0,1.0,A1
105,75,Chetan Pai,30.0,1.0,A2
106,77,Basavaraj Reddy,24.0,1.0,A1
107,77,Suma Poojari,,2.0,A2
108,78,Suma D'Souza,48.0,2.0,A1
109,79,Pushpa Banakar,25.0,2.0,A1
110,80,Kiran Angadi,23.0,1.0,A1
111,80,Hanumantha D'Souza,54.0,1.0,A2
112,80,Girish Pai,,1.0,A3
113,82,Dinesh Patil,,1.0,A1
114,82,Savitha Nayaka,22.0,2.0,A2
115,82,Naveen Desai,,1.0,A3
116,82,Nagaraj Banakar,29.0,1.0,A4
117,83,Raghavendra Sheikh,26.0,,A1
118,83,Santosh Patil,24.0,1.0,A2
119,84,Wilson Naik,17.0,1.0,A1
120,84,Shivakumar Angadi,,1.0,A2
121,84,Umesh Naik,23.0,1.0,A3
122,86,Prakash Bhat,41.0,1.0,A1
123,86,Asha Rao,21.0,2.0,A2
124,87,Nagaraj Rao,,1.0,A1
125,88,Harish Fernandes,20.0,1.0,A1
126,88,Joseph Sheikh,25.0,,A2
127,88,Basavaraj Shetty,35.0,1.0,A3
128,89,Nagaraj Angadi,21.0,1.0,A1
129,90,Lokesh Nayaka,41.0,1.0,A1
130,92,Lokesh Murthy,35.0,1.0,A1
131,92,Basavaraj Banakar,32.0,1.0,A2
132,93,Prakash Biradar,20.0,1.0,A1
133,93,Raghavendra Fernandes,,1.0,A2
134,94,Kiran Murthy,21.0,1.0,A1
135,94,Mahesh Murthy,,1.0,A2
136,95,Manjula Desai,22.0,2.0,A1
137,95,Nagaraj Kulkarni,24.0,1.0,A2
138,95,Nagaraj Hegde,,1.0,A3
139,96,Anthony Swamy,31.0,1.0,A1
140,97,Venkatesh Angadi,,1.0,A1
141,97,Vijay Poojari,,1.0,A2
142,98,Sunitha Poojari,,2.0,A1
143,99,Syed Bhat,30.0,1.0,A1
144,100,Shivakumar Murthy,28.0,1.0,A1
145,101,Girish Desai,,1.0,A1
146,102,Vijay Shetty,23.0,1.0,A1
147,103,Wilson Achari,35.0,1.0,A1
148,103,Umesh Pai,21.0,1.0,A2
149,103,Harish Khan,17.0,1.0,A3
150,103,Venkatesh Fernandes,20.0,1.0,A4
151,104,Suresh Bhat,34.0,,A1
152,105,Joseph Achari,21.0,1.0,A1
153,107,Praveen Achari,,,A1
154,110,Chetan Khan,39.0,1.0,A1
155,111,Ramesh Sheikh,19.0,1.0,A1
156,111,Shivakumar Poojari,45.0,1.0,A2
157,111,Ayesha Reddy,28.0,2.0,A3
158,112,Chetan Poojari,22.0,,A1
159,113,Umesh Achari,23.0,1.0,A1
160,113,Joseph Kumar,32.0,1.0,A2
161,113,Lakshmi Sheikh,43.0,2.0,A3
162,113,Joseph Shetty,,,A4
163,113,Praveen Bhat,,1.0,A5
164,116,Ramesh Kulkarni,24.0,1.0,A1
165,116,Anitha Gowda,20.0,2.0,A2
166,117,Harish Patil,22.0,1.0,A1
167,118,Kiran Reddy,28.0,,A1
168,118,Joseph Rao,28.0,1.0,A2
169,118,Srinivas Swamy,23.0,1.0,A3
170,118,Radha Biradar,33.0,2.0,A4
171,120,Irfan Swamy,21.0,,A1
172,123,Wilson Gowda,30.0,1.0,A1
173,123,Manjunath Khan,29.0,1.0,A2
174,123,Shivakumar Achari,33.0,1.0,A3
175,123,Praveen Swamy,39.0,1.0,A4
176,124,Shivakumar Achari,19.0,1.0,A1
177,124,Srinivas Desai,,1.0,A2
178,124,Syed Naik,23.0,1.0,A3
179,125,Umesh Banakar,,1.0,A1
180,128,Kavitha Gowda,53.0,2.0,A1
181,128,Shivakumar Pai,31.0,1.0,A2
182,128,Irfan Banakar,21.0,1.0,A3
183,128,Anthony Fernandes,,1.0,A4
184,130,Mohammed Banakar,26.0,1.0,A1
185,130,Syed D'Souza,,1.0,A2
186,130,Selvi Murthy,17.0,2.0,A3
187,131,Dinesh Angadi,,1.0,A1
188,131,Syed Kumar,,1.0,A2
189,131,Harish Kulkarni,40.0,1.0,A3
190,134,Chetan Pai,30.0,1.0,A1
191,137,Kiran Nayaka,22.0,1.0,A1
192,137,Nagamma Sheikh,20.0,2.0,A2
193,137,Prakash Biradar,,1.0,A3
194,137,Basavaraj Pai,30.0,1.0,A4
195,137,Selvi Naik,45.0,2.0,A5
196,137,Venkatesh Reddy,22.0,1.0,A6
