ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Sunitha Biradar,22.0,13.0,,,2
2,2,Deepa Sheikh,32.0,12.0,1.0,5.0,2
3,3,Nagaraj Poojari,25.0,8.0,1.0,,1
4,4,Savitha Gowda,36.0,24.0,1.0,45.0,2
5,5,Deepa Nayaka,28.0,,4.0,35.0,2
6,6,Girish Khan,51.0,22.0,1.0,1.0,1
7,7,Chetan Angadi,36.0,1.0,1.0,,1
8,8,Kavitha Kumar,,,1.0,38.0,2
9,9,Santosh Patil,48.0,7.0,2.0,,1
10,10,Kiran Rao,43.0,10.0,1.0,31.0,1
11,11,Savitha Rao,34.0,21.0,1.0,57.0,2
12,12,Shobha Gowda,22.0,13.0,1.0,1.0,2
13,13,Nagaraj Reddy,35.0,25.0,1.0,,1
14,13,Sunitha Khan,18.0,19.0,1.0,12.0,2
15,14,Shobha Achari,36.0,14.0,1.0,,2
16,14,Srinivas Sheikh,26.0,17.0,,10.0,1
17,15,Geetha Sheikh,,15.0,,39.0,2
18,16,Vijay Angadi,,10.0,,,1
19,17,Divya Poojari,30.0,3.0,1.0,,2
20,18,Prakash Sheikh,40.0,,,41.0,1
21,19,Fathima Shetty,45.0,24.0,6.0,,2
22,20,Kiran Kumar,45.0,18.0,1.0,58.0,1
23,21,Kiran Sheikh,37.0,3.0,,29.0,1
24,21,Anitha Fernandes,41.0,19.0,1.0,,2
25,22,Raghavendra Bhat,38.0,6.0,,,1
26,23,Bhagya Swamy,21.0,15.0,1.0,,2
27,24,Srinivas Angadi,55.0,1.0,1.0,41.0,1
28,25,Lokesh Shetty,34.0,24.0,1.0,19.0,1
29,26,Bhagya Rao,53.0,21.0,2.0,,2
30,27,Shivakumar Banakar,69.0,,2.0,,1
31,27,Manjunath Bhat,37.0,14.0,1.0,35.0,1
32,28,Ayesha Bhat,41.0,18.0,1.0,21.0,2
33,29,Mahesh Fernandes,35.0,22.0,,,1
34,30,Rekha Rao,48.0,25.0,,54.0,2
35,31,Fathima D'Souza,28.0,5.0,2.0,7.0,2
36,32,Divya Patil,31.0,19.0,2.0,55.0,2
37,33,Umesh D'Souza,47.0,4.0,1.0,,1
38,34,Anil Pai,18.0,,1.0,,1
39,35,Chetan Nayaka,53.0,4.0,1.0,27.0,1
40,36,Fathima Fernandes,18.0,,1.0,,2
41,37,Imran Khan,57.0,4.0,,14.0,1
42,38,Sunitha Rao,21.0,12.0,1.0,50.0,2
43,39,Lokesh Patil,40.0,15.0,1.0,45.0,1
44,39,Savitha Nayaka,50.0,,1.0,52.0,2
45,39,Prakash Gowda,25.0,16.0,1.0,41.0,1
46,40,Manjula Naik,25.0,,5.0,45.0,2
47,41,Lakshmi Naik,32.0,22.0,1.0,37.0,2
48,42,Praveen Poojari,46.0,18.0,1.0,24.0,1
49,43,Vijay Naik,33.0,,1.0,7.0,1
50,44,Harish Patil,27.0,4.0,1.0,,1
51,45,Lokesh Biradar,46.0,14.0,1.0,18.0,1
52,46,Rekha Kumar,62.0,19.0,1.0,19.0,2
53,47,Kavitha Khan,32.0,13.0,1.0,26.0,2
54,48,Ayesha Reddy,30.0,20.0,1.0,45.0,2
55,49,Fathima Swamy,44.0,,1.0,25.0,2
56,50,Bhagya Fernandes,61.0,14.0,1.0,10.0,2
57,51,Kiran Naik,47.0,7.0,1.0,54.0,1
58,51,Kiran Gowda,34.0,,,16.0,1
59,52,Shobha Bhat,34.0,20.0,,18.0,2
60,52,Raghavendra Shetty,54.0,10.0,1.0,32.0,1
61,53,Sunitha Shetty,,7.0,1.0,44.0,2
62,54,Pallavi Biradar,46.0,25.0,,47.0,2
63,55,Kiran Fernandes,32.0,,1.0,,1
64,56,Mary Desai,,18.0,1.0,38.0,2
65,57,Anthony Angadi,18.0,,,19.0,1
66,57,Anthony Naik,35.0,10.0,1.0,38.0,1
67,58,Shivakumar Patil,42.0,,1.0,,1
