EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
1,1,36,1,6,KGID0000001,Basavaraj Poojari,1998-05-19,1,3.0,0,2021-06-01
2,1,36,2,3,KGID0000002,Harish Shetty,1995-01-22,1,1.0,0,2022-06-01
3,1,36,2,3,KGID0000003,Suresh Biradar,1977-09-07,1,4.0,0,2000-06-01
4,1,36,1,7,KGID0000004,Kiran Reddy,1985-03-26,1,6.0,0,2010-06-01
5,1,36,1,4,KGID0000005,Prakash Gowda,1972-08-19,1,6.0,0,1998-06-01
6,1,36,1,1,KGID0000006,Mohammed Kulkarni,1972-12-06,1,2.0,0,1995-06-01
7,1,36,1,8,KGID0000007,Lakshmi Reddy,1998-02-08,2,,0,2026-06-01
8,1,36,2,7,KGID0000008,Venkatesh Biradar,1992-12-09,1,7.0,0,2017-06-01
9,1,36,2,7,KGID0000009,Ramesh Angadi,1999-11-22,1,3.0,0,2024-06-01
10,1,36,2,6,KGID0000010,Praveen Swamy,1991-04-26,1,5.0,0,2015-06-01
11,1,36,2,2,KGID0000011,Joseph Patil,1978-06-18,1,4.0,0,2001-06-01
12,1,36,3,4,KGID0000012,Umesh Naik,1998-02-09,1,8.0,0,2026-06-01
13,1,36,1,10,KGID0000013,Santosh Gowda,1986-09-16,1,6.0,0,2007-06-01
14,1,36,2,9,KGID0000014,Harish Desai,1982-02-15,1,6.0,0,2010-06-01
15,1,36,1,5,KGID0000015,Chetan Desai,1987-12-08,1,5.0,0,2015-06-01
16,1,36,6,3,KGID0000016,Hanumantha Shetty,1973-06-26,1,5.0,0,1999-06-01
17,1,36,1,7,KGID0000017,Harish Poojari,1975-06-10,1,3.0,0,1998-06-01
18,1,36,1,8,KGID0000018,Irfan Rao,1977-05-03,1,3.0,0,2002-06-01
19,1,36,1,3,KGID0000019,Prakash Fernandes,1996-02-08,1,1.0,0,2022-06-01
20,1,36,1,1,KGID0000020,Praveen Naik,1993-04-18,1,6.0,0,2017-06-01
21,1,36,3,8,KGID0000021,Pallavi Reddy,1985-10-05,2,5.0,0,2006-06-01
22,1,37,1,10,KGID0000022,Pushpa Khan,1976-09-20,2,1.0,0,2000-06-01
23,1,37,1,3,KGID0000023,Anil Sheikh,1980-05-18,1,,0,2004-06-01
24,1,37,4,6,KGID0000024,Anthony Achari,1972-10-27,1,3.0,0,1998-06-01
25,1,37,1,10,KGID0000025,Mary Reddy,1982-10-19,2,4.0,0,2003-06-01
26,1,37,1,1,KGID0000026,Anthony Naik,1969-05-21,1,3.0,0,1992-06-01
27,1,37,4,4,KGID0000027,Venkatesh Achari,1995-07-05,1,2.0,0,2022-06-01
28,1,37,2,8,KGID0000028,Anil Biradar,1990-08-01,1,,0,2017-06-01
29,1,37,1,6,KGID0000029,Ramesh D'Souza,1975-03-08,1,2.0,0,1999-06-01
30,1,37,1,10,KGID0000030,Girish Pai,1983-10-15,1,1.0,0,2006-06-01
31,1,37,5,3,KGID0000031,Mahesh Kulkarni,1972-02-10,1,2.0,0,1995-06-01
32,1,37,1,5,KGID0000032,Girish Kumar,1988-05-08,1,5.0,0,2009-06-01
33,1,38,1,1,KGID0000033,Mohammed Pai,1971-04-06,1,7.0,0,1998-06-01
34,1,38,1,8,KGID0000034,Joseph Sheikh,1975-10-01,1,,0,1996-06-01
35,1,38,6,6,KGID0000035,Chetan Reddy,1991-01-03,1,6.0,0,2012-06-01
36,1,38,5,6,KGID0000036,Shivakumar Murthy,1983-05-13,1,6.0,0,2006-06-01
37,1,38,1,9,KGID0000037,Imran Reddy,1993-11-16,1,7.0,0,2021-06-01
38,1,38,6,7,KGID0000038,Venkatesh Khan,1981-08-20,1,6.0,0,2003-06-01
39,1,38,1,2,KGID0000039,Rekha Murthy,1976-08-06,2,3.0,0,1998-06-01
40,1,38,1,10,KGID0000040,Manjunath Reddy,1991-04-26,1,1.0,0,2015-06-01
41,1,38,5,10,KGID0000041,Irfan Angadi,1979-07-11,1,6.0,0,2004-06-01
42,1,38,2,8,KGID0000042,Raghavendra Shetty,1988-10-02,1,3.0,0,2016-06-01
43,1,38,3,4,KGID0000043,Irfan Poojari,1976-07-23,1,7.0,0,2003-06-01
44,1,38,2,6,KGID0000044,Lokesh Hegde,1974-11-01,1,5.0,0,2001-06-01
45,1,38,4,7,KGID0000045,Vijay Reddy,1984-10-23,1,7.0,0,2006-06-01
46,1,38,1,3,KGID0000046,Basavaraj Kulkarni,1998-04-06,1,8.0,0,2022-06-01
47,1,38,3,5,KGID0000047,Harish Khan,1994-02-24,1,4.0,0,2019-06-01
48,1,38,1,7,KGID0000048,Geetha Achari,1978-11-01,2,4.0,0,2002-06-01
49,1,38,5,6,KGID0000049,Mohammed Biradar,1983-01-15,1,5.0,0,2005-06-01
50,1,38,1,4,KGID0000050,Wilson Bhat,1983-02-15,1,5.0,0,2011-06-01
51,1,38,2,5,KGID0000051,Prakash Banakar,1998-03-02,1,,0,2020-06-01
52,1,38,6,4,KGID0000052,Hanumantha Nayaka,1974-07-24,1,5.0,0,1999-06-01
53,1,39,1,4,KGID0000053,Wilson Poojari,1980-06-22,1,5.0,0,2004-06-01
54,1,39,1,10,KGID0000054,Divya D'Souza,1996-05-14,2,2.0,0,2018-06-01
55,1,39,1,6,KGID0000055,Venkatesh Desai,1986-07-07,1,6.0,0,2012-06-01
56,1,39,1,7,KGID0000056,Syed Poojari,1996-04-03,1,4.0,0,2018-06-01
57,1,39,1,6,KGID0000057,Naveen Nayaka,1989-07-26,1,7.0,1,2015-06-01
58,1,39,2,2,KGID0000058,Joseph Rao,1988-04-02,1,4.0,0,2014-06-01
59,1,39,1,8,KGID0000059,Fathima Murthy,1973-11-03,2,7.0,0,2001-06-01
60,1,39,4,2,KGID0000060,Shivakumar Sheikh,1989-01-17,1,8.0,0,2015-06-01
61,1,39,1,6,KGID0000061,Naveen Shetty,1968-06-18,1,6.0,0,1989-06-01
62,1,39,5,4,KGID0000062,Suresh Desai,1971-12-01,1,3.0,0,1992-06-01
63,1,39,1,5,KGID0000063,Hanumantha Nayaka,1980-07-13,1,3.0,0,2002-06-01
64,1,39,4,7,KGID0000064,Lokesh Khan,1996-01-23,1,6.0,0,2017-06-01
65,1,39,1,2,KGID0000065,Venkatesh Rao,1978-03-08,1,1.0,0,2003-06-01
66,1,39,2,9,KGID0000066,Kiran Desai,1986-03-09,1,2.0,0,2010-06-01
67,1,39,4,1,KGID0000067,Santosh D'Souza,1989-08-23,1,3.0,0,2016-06-01
68,1,39,3,3,KGID0000068,Joseph Khan,2000-03-05,1,2.0,0,2021-06-01
69,1,40,2,5,KGID0000069,Kiran Angadi,1988-11-18,1,,0,2014-06-01
70,1,40,1,1,KGID0000070,Umesh Fernandes,1989-07-24,1,6.0,0,2016-06-01
71,1,40,1,3,KGID0000071,Mary Khan,1970-02-03,2,5.0,0,1994-06-01
72,1,40,1,1,KGID0000072,Suresh Gowda,1998-06-06,1,,0,2020-06-01
73,1,40,2,7,KGID0000073,Raghavendra Hegde,1990-09-07,1,,0,2013-06-01
74,1,40,1,7,KGID0000074,Manjunath Patil,1989-08-13,1,6.0,0,2016-06-01
75,1,40,2,8,KGID0000075,Abdul Angadi,1986-04-17,1,8.0,0,2012-06-01
76,1,40,1,2,KGID0000076,Mohammed Swamy,1980-02-08,1,,0,2006-06-01
77,1,40,2,1,KGID0000077,Syed Swamy,1993-06-17,1,6.0,0,2018-06-01
78,1,40,4,6,KGID0000078,Srinivas Naik,1984-06-21,1,7.0,0,2010-06-01
79,1,40,3,7,KGID0000079,Santosh Swamy,1986-04-03,1,6.0,0,2009-06-01
80,1,40,1,6,KGID0000080,Prakash Pai,1982-09-23,1,7.0,0,2005-06-01
81,1,40,2,2,KGID0000081,Santosh Banakar,1993-11-08,1,8.0,0,2014-06-01
82,1,40,4,1,KGID0000082,Srinivas Shetty,1990-06-06,1,2.0,0,2013-06-01
83,1,40,2,10,KGID0000083,Kiran Hegde,1993-07-27,1,8.0,0,2015-06-01
84,1,40,5,8,KGID0000084,Srinivas Murthy,1994-06-14,1,8.0,0,2020-06-01
85,1,40,1,6,KGID0000085,Nagaraj Desai,1990-12-02,1,2.0,0,2018-06-01
86,1,40,3,10,KGID0000086,Kiran Naik,1985-06-12,1,6.0,0,2008-06-01
87,1,40,2,3,KGID0000087,Chetan Fernandes,1987-02-20,1,1.0,0,2011-06-01
88,1,40,1,1,KGID0000088,Girish Pai,1973-10-02,1,7.0,0,1995-06-01
89,1,40,1,8,KGID0000089,Asha Shetty,1986-05-01,2,6.0,0,2014-06-01
90,1,40,1,4,KGID0000090,Manjunath Fernandes,1988-10-21,1,1.0,0,2009-06-01
91,1,40,5,8,KGID0000091,Anil Shetty,1996-10-12,1,2.0,1,2019-06-01
92,1,40,3,9,KGID0000092,Dinesh Biradar,1980-01-26,1,2.0,0,2004-06-01
93,1,41,8,2,KGID0000093,Anil Poojari,1986-04-18,1,8.0,0,2009-06-01
