VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Hanumantha Hegde,27.0,1,0
2,2,Shobha Murthy,43.0,2,0
3,3,Lakshmi Reddy,18.0,2,0
4,4,Kavitha Khan,23.0,2,0
5,4,Savitha Kumar,37.0,2,0
6,5,Anthony Biradar,25.0,1,0
7,5,Praveen Poojari,77.0,1,0
8,6,Vijay Banakar,35.0,1,0
9,7,Harish Achari,42.0,1,0
10,8,Anitha Fernandes,42.0,2,0
11,9,Suresh Swamy,13.0,1,0
12,10,Asha Naik,34.0,2,0
13,10,Manjunath Pai,27.0,1,0
14,10,Raghavendra Nayaka,25.0,1,0
15,11,Irfan Pai,44.0,1,0
16,11,Manjunath Fernandes,10.0,1,0
17,12,Shobha Achari,31.0,2,0
18,13,Anitha Kulkarni,28.0,2,0
19,13,Anthony Hegde,27.0,1,0
20,14,Ramesh Naik,25.0,1,0
21,15,Asha Rao,51.0,2,0
22,16,Ramesh Hegde,9.0,1,0
23,16,Mohammed Patil,13.0,1,0
24,17,Srinivas Biradar,29.0,1,0
25,18,Naveen Patil,10.0,1,0
26,19,Bhagya Biradar,43.0,2,0
27,19,Geetha Sheikh,,2,0
28,21,Anitha Murthy,,2,0
29,23,Mohammed Desai,31.0,1,0
30,24,Abdul Kulkarni,36.0,1,0
31,25,Unknown,,1,0
32,26,Ayesha D'Souza,24.0,2,0
33,27,Anil Hegde,49.0,1,0
34,29,Girish Bhat,,1,0
35,30,Shobha Poojari,40.0,2,0
36,30,Abdul Nayaka,43.0,1,0
37,31,Irfan Bhat,19.0,1,0
38,32,Bhagya Shetty,36.0,2,0
39,33,Fathima Khan,49.0,2,0
40,34,Manjunath Hegde,,1,0
41,35,Imran Hegde,39.0,1,0
42,36,Unknown,,1,0
43,37,Anthony Gowda,74.0,1,0
44,38,Lokesh Nayaka,24.0,1,0
45,39,Nagaraj Kulkarni,33.0,1,0
46,41,Nagaraj Nayaka,41.0,1,0
47,42,Naveen Kulkarni,27.0,1,0
48,43,Kiran Desai,17.0,1,0
49,44,Dinesh Gowda,49.0,1,0
50,45,Divya Gowda,39.0,2,0
51,46,Naveen Desai,47.0,1,0
52,47,Bhagya Swamy,20.0,2,0
53,48,Abdul Poojari,34.0,1,0
54,49,Umesh Sheikh,37.0,1,0
55,50,Hanumantha Murthy,37.0,1,0
56,51,Savitha Hegde,18.0,2,0
57,52,Mary Khan,42.0,2,0
58,52,Divya Shetty,23.0,2,0
59,53,Irfan Rao,29.0,1,0
60,54,Unknown,28.0,2,0
61,55,Kavitha Hegde,30.0,2,0
62,56,Deepa Rao,40.0,2,0
63,58,Unknown,,1,0
64,59,Girish Nayaka,42.0,1,0
65,60,Geetha Nayaka,22.0,2,0
66,61,Divya Rao,26.0,2,0
67,62,Anthony Kulkarni,5.0,1,0
68,63,Mary Sheikh,46.0,2,0
69,63,Nagamma D'Souza,40.0,2,0
70,64,Raghavendra Swamy,5.0,1,0
71,65,Shivakumar Rao,9.0,1,0
72,66,Manjunath Achari,30.0,1,0
73,67,Joseph Rao,8.0,1,0
74,68,Girish Kumar,29.0,1,0
75,69,Naveen Swamy,33.0,1,0
76,69,Girish Desai,27.0,1,0
77,70,Mohammed Desai,,1,0
78,71,Praveen Achari,5.0,1,0
79,71,Venkatesh Pai,40.0,1,0
80,72,Pallavi Rao,,2,0
81,73,Hanumantha Khan,35.0,1,0
82,73,Pushpa Pai,58.0,2,0
83,74,Abdul Achari,29.0,1,0
84,75,Lakshmi Khan,43.0,2,0
85,76,Rekha Shetty,24.0,2,0
86,77,Girish Poojari,27.0,1,0
87,77,Nagaraj Gowda,48.0,1,1
88,78,Pushpa Kumar,52.0,2,0
89,78,Suma Kumar,15.0,2,0
90,79,Shivakumar Bhat,24.0,1,0
91,80,Dinesh Rao,20.0,1,0
92,81,Girish Kumar,22.0,1,0
93,82,Girish Bhat,25.0,1,0
94,82,Suresh Gowda,28.0,1,0
95,83,Anthony Sheikh,21.0,1,0
96,84,Harish Desai,30.0,1,0
97,85,Unknown,59.0,1,0
98,86,Dinesh Khan,43.0,1,0
99,87,Wilson Swamy,37.0,1,0
100,88,Lokesh Kulkarni,,1,0
101,88,Mary Kumar,28.0,2,0
102,89,Hanumantha Nayaka,37.0,1,0
103,90,Srinivas Naik,25.0,1,0
104,90,Kiran Naik,,1,0
105,91,Mohammed Biradar,34.0,1,0
106,91,Girish Naik,33.0,1,0
107,92,Irfan Pai,32.0,1,0
108,92,Venkatesh Biradar,32.0,1,0
109,93,Shivakumar Poojari,42.0,1,0
110,93,Abdul Reddy,21.0,1,1
111,94,Syed Murthy,49.0,1,0
112,96,Bhagya D'Souza,36.0,2,0
113,96,Bhagya Hegde,51.0,2,0
114,97,Mahesh Pai,21.0,1,0
115,98,Kiran Biradar,29.0,1,0
116,99,Manjunath Fernandes,33.0,1,0
117,100,Rekha Achari,34.0,2,0
118,101,Praveen Kulkarni,5.0,1,0
119,102,Radha Kulkarni,22.0,2,0
120,103,Wilson Banakar,21.0,1,0
121,104,Girish Nayaka,20.0,1,0
122,105,Kiran Desai,54.0,1,0
123,106,Venkatesh Shetty,38.0,1,1
124,107,Geetha Rao,,2,0
125,109,Harish Murthy,59.0,1,0
126,111,Asha D'Souza,,2,0
127,112,Hanumantha Nayaka,26.0,1,0
128,112,Imran Biradar,5.0,1,0
129,113,Radha Patil,40.0,2,0
130,114,Mahesh Bhat,9.0,1,0
131,114,Mohammed Reddy,34.0,1,0
132,115,Unknown,33.0,2,0
133,116,Basavaraj Patil,5.0,1,0
134,117,Dinesh Gowda,42.0,1,0
135,117,Syed Angadi,44.0,1,0
136,118,Ramesh Angadi,21.0,1,0
137,118,Sunitha Khan,16.0,2,0
138,119,Srinivas Desai,19.0,1,0
139,121,Chetan Swamy,23.0,1,0
140,121,Irfan Biradar,50.0,1,0
141,122,Pushpa Shetty,64.0,2,0
142,123,Lakshmi Bhat,32.0,2,0
143,124,Imran Fernandes,29.0,1,0
144,125,Chetan Rao,26.0,1,0
145,126,Manjunath Kumar,28.0,1,0
146,127,Bhagya Fernandes,5.0,2,0
147,128,Chetan Poojari,27.0,1,0
148,129,Naveen Naik,,1,0
149,130,Ayesha Bhat,,2,0
150,131,Bhagya Sheikh,54.0,2,0
151,132,Syed Angadi,38.0,1,0
152,133,Anitha Shetty,30.0,2,0
153,135,Unknown,,1,0
154,136,Selvi Swamy,59.0,2,0
155,137,Prakash Bhat,,1,0
156,138,Deepa Biradar,30.0,2,0
157,139,Joseph Sheikh,,1,0
158,140,Venkatesh Nayaka,29.0,1,0
159,141,Santosh Fernandes,37.0,1,0
160,142,Divya Kumar,23.0,2,0
161,143,Nagamma Biradar,28.0,2,0
162,144,Shivakumar Naik,9.0,1,0
163,145,Ramesh Rao,28.0,1,0
164,146,Naveen Fernandes,38.0,1,0
165,147,Shobha Swamy,,2,0
166,148,Shivakumar Banakar,23.0,1,0
167,148,Sunitha Fernandes,41.0,2,0
168,149,Kavitha Desai,,2,0
169,150,Suresh Kumar,35.0,1,0
170,152,Kiran Shetty,16.0,1,0
171,153,Radha Poojari,22.0,2,0
172,154,Suma Reddy,18.0,2,0
173,155,Kavitha Hegde,44.0,2,0
174,156,Geetha Gowda,42.0,2,0
175,157,Suma Sheikh,56.0,2,0
176,158,Selvi Khan,,2,0
177,159,Vijay Bhat,16.0,1,0
178,160,Naveen Patil,41.0,1,0
179,161,Abdul Biradar,37.0,1,0
180,162,Naveen Hegde,34.0,1,0
181,164,Srinivas Hegde,18.0,1,0
182,165,Unknown,37.0,1,0
